,asset,free,locked
336,HARD,0.00000000,0.00000000
337,KP3R,0.00000000,0.00000000
338,RENBTC,0.00000000,0.00000000
339,SLP,0.00000000,0.00000000
340,STRAX,0.00000000,0.00000000
341,UNFI,0.00000000,0.00000000
342,CVP,0.00000000,0.00000000
343,BCHA,0.00000000,0.00000000
344,FOR,0.00000000,0.00000000
345,FRONT,0.00000000,0.00000000
346,ROSE,0.00000000,0.00000000
347,MDX,0.00000000,0.00000000
348,HEGIC,0.00000000,0.00000000
349,AAVEUP,0.00000000,0.00000000
350,AAVEDOWN,0.00000000,0.00000000
351,PROM,0.00000000,0.00000000
352,BETH,0.00000000,0.00000000
353,SKL,0.00000000,0.00000000
354,GLM,0.00000000,0.00000000
355,SUSD,0.00000000,0.00000000
356,COVER,0.00000000,0.00000000
357,GHST,0.00000000,0.00000000
358,SUSHIUP,0.00000000,0.00000000
359,SUSHIDOWN,0.00000000,0.00000000
360,XLMUP,0.00000000,0.00000000
361,XLMDOWN,0.00000000,0.00000000
362,DF,0.00000000,0.00000000
363,JUV,0.00000000,0.00000000
364,PSG,0.00000000,0.00000000
365,BVND,0.00,0.00
366,GRT,0.00000000,0.00000000
367,CELO,0.00000000,0.00000000
368,TWT,0.00000000,0.00000000
369,REEF,0.00000000,0.00000000
370,OG,0.00000000,0.00000000
371,ATM,0.00000000,0.00000000
372,ASR,0.00000000,0.00000000
373,1INCH,0.00000000,0.00000000
374,RIF,0.00000000,0.00000000
375,BTCST,0.00000000,0.00000000
376,TRU,0.00000000,0.00000000
377,DEXE,0.00000000,0.00000000
378,CKB,0.00000000,0.00000000
379,FIRO,0.00000000,0.00000000
380,LIT,0.00000000,0.00000000
381,PROS,0.00000000,0.00000000
382,VAI,0.00000000,0.00000000
383,SFP,0.00000000,0.00000000
384,FXS,0.00000000,0.00000000
385,DODO,0.00000000,0.00000000
386,AUCTION,0.00000000,0.00000000
387,UFT,0.00000000,0.00000000
388,ACM,0.00000000,0.00000000
389,PHA,0.00000000,0.00000000
390,TVK,0.00000000,0.00000000
391,BADGER,0.00000000,0.00000000
392,FIS,0.00000000,0.00000000
393,QI,0.00000000,0.00000000
394,OM,0.00000000,0.00000000
395,POND,0.00000000,0.00000000
396,ALICE,0.00000000,0.00000000
397,DEGO,0.00000000,0.00000000
398,BIFI,0.00000000,0.00000000
399,LINA,0.00000000,0.00000000
400,PERP,0.00000000,0.00000000
401,RAMP,0.00000000,0.00000000
402,SUPER,0.00000000,0.00000000
403,CFX,0.00000000,0.00000000
404,TKO,0.00000000,0.00000000
405,AUTO,0.00000000,0.00000000
406,EPS,0.00000000,0.00000000
407,PUNDIX,0.00000000,0.00000000
